segment_start;segment_end;label;instrument
0.0;0.371519274;silence;
0.371519274;11.331337868;intro;p,b,dr
11.331337868;48.203174;theme_01_01;tp,as,p,b,dr
48.203174;67.352380;vamp_01_01;tp,as,p,b,dr
67.352380;106.686984;solo_01_01;s_as,b_p,b_b,b_dr
106.686984;146.755918;solo_01_02;s_as,b_p,b_b,b_dr
146.755918;186.836462;solo_01_03;s_as,b_p,b_b,b_dr
186.836462;226.777687;solo_02_01;s_tp,b_p,b_b,b_dr
226.777687;267.711564;solo_02_02;s_tp,b_p,b_b,b_dr
267.711564;308.323265;solo_02_03;s_tp,b_p,b_b,b_dr
308.323265;348.412517;solo_03_01;s_p,b_b,b_dr
348.412517;388.310204;solo_03_02;s_p,b_b,b_dr
388.310204;427.990204;solo_03_03;s_p,b_b,b_dr
427.990204;467.713741;solo_04_01;s_dr
467.713741;481.976598;intro_02_01;p,b,dr,as
481.976598;517.398639;theme_02_01;tp,as,p,b,dr
517.398639;552.820680271;outro;tp,p,b,dr
552.820680271;555.52;silence;
