segment_start;segment_end;label;instrument
0.0;0.371519274;silence;
0.371519274;14.889795918;intro;cl,b,dr
14.889795918;51.385759;theme_01_01;cl,b,dr
51.385759;60.669387755;vamp_01_01;cl,b,dr
60.669387755;96.848979591;solo_01_01;s_cl,b_b,b_dr
96.848979591;132.310204081;solo_01_02;s_cl,b_b,b_dr
132.310204081;166.7352320;solo_01_03;s_cl,b_b,b_dr
166.7352320;201.404081632;solo_01_04;s_cl,b_b,b_dr
201.404081632;235.036734693;solo_02_01;s_b,b_dr
235.036734693;268.85986;solo_02_02;s_b,b_dr
268.85986;301.597460;solo_03_01;s_cl,s_dr,b_b
301.597460;335.261315;solo_03_02;s_cl,s_dr,b_b
335.261315;368.883809;theme_02_01;cl,b,dr
368.883809;391.640816325;outro;cl,b,dr
391.640816325;396.3333333333333;silence;
